epoch good_track epoch_time year month day id_sat Azi_ini Azi_end ele_ini ele_end A desvA Phi desvPhi ref_height SatelliteDirection
9618.0 yes 21.856944444444444 2019 1 14 20 154.9 134.6 5.0 30.0 -23.875270581644536 0.6032044286860364 30.16520474565766 0.025362828263223055 1.78 satellite-rising
12459.0 yes 1.8027777777777778 2019 1 15 20 49.6 45.8 30.0 5.0 23.42851259815329 0.7707318071937302 241.31298638133921 0.03351854571527757 1.779 satellite-falling
26848.0 yes 21.7875 2019 1 15 20 154.9 134.5 5.0 30.0 -22.860236716063053 0.5723939234983833 29.909326791104036 0.025116234753472723 1.778 satellite-rising
46920.0 yes 1.6652777777777776 2019 1 17 20 49.6 45.8 30.0 5.0 -22.152546783916087 0.764245373128131 61.18788257338497 0.03516386088810063 1.78 satellite-falling
61310.0 yes 21.65138888888889 2019 1 17 20 154.9 134.6 5.0 30.0 -23.8015790980209 0.6107706485948778 28.282768926811514 0.025708416607016737 1.78 satellite-rising
64151.0 yes 1.5972222222222223 2019 1 18 20 49.6 45.8 30.0 5.0 23.09513210340788 0.7876442638997233 242.08491302230846 0.034760484827336985 1.826 satellite-falling
78541.0 yes 21.583333333333332 2019 1 18 20 154.9 134.5 5.0 30.0 -22.606238487922056 0.5910715607674382 29.353015023346074 0.02622441986033221 1.78 satellite-rising
81382.0 yes 1.5291666666666666 2019 1 19 20 49.6 45.8 29.9 5.0 -23.03651757981303 0.7869022381378623 62.20957553620326 0.03481017105019259 1.779 satellite-falling
95772.0 yes 21.51527777777778 2019 1 19 20 154.9 134.5 5.0 30.0 -23.43484417731766 0.5939433237579613 28.478710172014075 0.02541065230592196 1.78 satellite-rising
98613.0 yes 1.461111111111111 2019 1 20 20 49.6 45.8 29.9 5.0 -21.93974055960234 0.7627270359090053 61.84604124579528 0.03541848996225718 1.779 satellite-falling
113003.0 yes 21.447222222222223 2019 1 20 20 154.9 134.5 5.0 30.0 -23.53396248886269 0.6524847002818129 27.578515097803688 0.027784393412604993 1.78 satellite-rising
