epoch good_track epoch_time year month day id_sat Azi_ini Azi_end ele_ini ele_end A desvA Phi desvPhi ref_height SatelliteDirection
6051.0 no 16.902777777777775 2019 1 14 32 318.1 310.7 15.1 30.0 -13.504711305120894 0.8291400250744831 54.86618110191489 0.06172739290819823 1.877 satellite-rising
8197.0 yes 19.883333333333333 2019 1 14 32 238.7 214.6 30.0 5.0 14.611832604927455 0.8983181066870602 242.86734628994782 0.06270679828237881 1.918 satellite-falling
12313.0 yes 1.6 2019 1 15 32 128.0 92.1 6.1 30.0 -21.369328978840404 0.6580098484173758 52.91010282134789 0.03109323151857003 1.811 satellite-rising
14179.0 yes 4.191666666666667 2019 1 15 32 59.5 36.5 30.0 5.0 -25.701343941328776 0.6891421267628712 62.529523537292334 0.027513844275290453 1.823 satellite-falling
23331.0 no 16.902777777777775 2019 1 15 32 317.7 310.7 16.6 30.0 -18.99356168465689 1.4652820295339684 63.66383442848212 0.07757206632574466 1.829 satellite-rising
25428.0 yes 19.81527777777778 2019 1 15 32 238.7 214.6 30.0 5.0 15.107440025052917 0.8970723319270282 240.810411000153 0.06055080214781756 1.918 satellite-falling
29544.0 yes 1.5319444444444443 2019 1 16 32 128.0 92.1 6.1 30.0 -21.35296117352555 0.6729661050302649 52.36500579090489 0.03182084786119133 1.81 satellite-rising
31412.0 yes 4.126388888888888 2019 1 16 32 59.5 36.6 30.0 5.0 -26.280195941427145 0.7226566713042639 62.37283754838154 0.028229981866758368 1.825 satellite-falling
40611.0 no 16.902777777777775 2019 1 16 32 317.3 310.7 18.1 30.0 -11.213304053848164 0.8911810534050475 56.91216805574777 0.07705536058491494 1.867 satellite-rising
42659.0 no 19.747222222222224 2019 1 16 32 238.8 214.6 30.0 5.0 -15.425799680802271 0.900840298564907 58.18449398042685 0.059472946879322246 1.916 satellite-falling
46775.0 yes 1.4638888888888888 2019 1 17 32 128.0 92.2 6.1 30.0 -21.316762776291654 0.6255524897072597 53.34297758478397 0.02962822064075897 1.811 satellite-rising
48644.0 yes 4.059722222222222 2019 1 17 32 59.5 36.6 30.0 5.0 -26.778403157903092 0.7247632092372492 61.8688934887025 0.027778745543809925 1.824 satellite-falling
59890.0 no 19.679166666666667 2019 1 17 32 238.8 214.6 30.0 5.0 -15.439438807844166 0.8796264075342556 55.031566488061344 0.05797204836990524 1.871 satellite-falling
64006.0 yes 1.3958333333333333 2019 1 18 32 128.0 92.2 6.0 30.0 -22.43849009936517 0.6589129487263754 54.64545053773372 0.02965677549509497 1.81 satellite-rising
65876.0 yes 3.993055555555556 2019 1 18 32 59.4 36.6 30.0 5.0 -26.423608642691544 0.7098550687827359 62.20704408278584 0.027568340953887365 1.824 satellite-falling
77122.0 no 19.6125 2019 1 18 32 238.8 214.7 29.9 5.0 13.60076938434013 0.9181754806209643 58.1351942813626 0.8224368197957348 1.873 satellite-falling
81237.0 yes 1.3277777777777777 2019 1 19 32 128.1 92.2 6.0 30.0 -21.99658111576829 0.6546756716444267 55.10203474075638 0.030060990183988005 1.809 satellite-rising
83108.0 yes 3.926388888888889 2019 1 19 32 59.4 36.6 30.0 5.0 -26.905625575372905 0.7454545280290094 64.3932155227501 0.028449583500396777 1.825 satellite-falling
91885.0 yes 16.116666666666667 2019 1 19 32 319.1 310.6 5.0 30.0 -26.019007522269998 0.9590447974418982 39.63451487043221 0.03727642070678568 1.826 satellite-rising
94353.0 no 19.544444444444448 2019 1 19 32 238.8 214.7 30.0 5.0 -16.414863340578922 0.9164025394182783 53.00422203105609 0.05671534746867345 1.871 satellite-falling
98470.0 yes 1.2625 2019 1 20 32 128.0 92.3 6.1 30.0 -20.89269089261306 0.6168040055287893 55.67763240611475 0.029838409691116927 1.813 satellite-rising
100340.0 yes 3.8597222222222225 2019 1 20 32 59.4 36.6 30.0 5.0 -27.949758162096487 0.7281155350863656 63.60832845514665 0.026741445460441493 1.824 satellite-falling
109117.0 yes 16.05 2019 1 20 32 319.1 310.6 5.1 30.0 -25.193013709660168 0.9134187789869628 39.37999650782547 0.03660582284108661 1.827 satellite-rising
111584.0 yes 19.476388888888888 2019 1 20 32 238.9 214.7 30.0 5.0 -15.902823855496063 0.9388255960749071 58.173595385501585 0.06011975251166024 1.918 satellite-falling
